gender,age in years,where the respondent lives,binge drinking,has a drinking problem
male,19,Lives Other,none,12
female,26,Lives Other,none,12
male,21,Lives Other,none,
female,26,Lives Other,none,
male,19,Lives Other,none,16
female,21,Lives Other,3-5 times,24
female,19,Lives Other,once,18
male,18,Lives Other,none,
female,21,Lives Other,none,12
female,19,Lives Other,,18
female,21,Lives Other,none,17
male,20,Lives Other,none,23
male,20,Lives Other,none,12
male,21,Lives Other,none,12
male,26,Lives Other,none,12
female,23,Lives Other,none,
male,21,Lives Other,none,13
female,20,Lives Other,none,10
male,21,Lives Other,3-5 times,23
male,19,Lives in Fraternity or Sorority,twice,16
female,21,Lives Other,twice,15
female,21,Lives Other,twice,15
female,23,Lives Other,none,14
male,23,Lives Other,once,15
female,21,Lives Other,none,14
male,19,Lives Other,3-5 times,17
female,21,Lives Other,none,
female,21,Lives Other,once,16
female,20,Lives Other,none,12
male,22,Lives Other,3-5 times,15
female,20,Lives Other,none,23
male,23,Lives Other,twice,13
female,26,Lives Other,none,12
female,19,Lives Other,once,12
male,19,Lives Other,none,16
female,21,Lives Other,none,14
female,26,Lives Other,once,14
male,20,Lives Other,twice,16
male,26,Lives Other,none,
female,20,Lives Other,none,
female,21,Lives Other,none,13
female,22,Lives Other,none,21
male,20,Lives Other,once,27
male,18,Lives Other,none,28
female,19,Lives Other,none,13
female,22,Lives Other,once,18
male,19,Lives Other,3-5 times,13
male,22,Lives Other,3-5 times,21
female,23,Lives Other,none,14
male,19,Lives Other,none,14
male,21,Lives Other,once,13
female,19,Lives Other,none,13
male,22,Lives Other,once,15
female,21,Lives Other,none,12
female,19,Lives Other,none,13
female,20,Lives Other,none,
female,21,Lives Other,none,12
male,26,Lives Other,none,14
male,21,Lives Other,none,14
male,23,Lives Other,none,13
female,26,Lives Other,once,14
female,21,Lives Other,none,
male,19,Lives Other,3-5 times,21
female,20,Lives Other,none,12
male,24,Lives Other,none,12
female,20,Lives Other,none,15
male,19,Lives Other,none,18
female,20,Lives Other,none,12
male,26,Lives Other,none,12
female,18,Lives Other,once,16
